customer_id,age,annual_income_nzd,employment_type,region,credit_score,tenure_months
1,44,53377.18,Salaried,Auckland,712,1
2,36,43189.7,Student,Wellington,653,4
3,46,50132.83,Student,Auckland,586,70
4,56,74729.43,Contractor,Auckland,618,3
5,35,96281.89,Student,Auckland,674,9
6,35,70032.82,Salaried,Wellington,777,9
7,57,56713.95,Salaried,Auckland,616,33
8,47,106309.01,Self-employed,Wellington,706,31
9,32,47062.11,Salaried,Auckland,627,12
10,45,86155.9,Salaried,Waikato,658,8
11,32,47589.71,Salaried,Waikato,756,52
12,32,65772.71,Self-employed,Auckland,704,99
13,41,51477.33,Salaried,Other,563,2
14,18,52831.69,Self-employed,Waikato,610,5
15,18,45714.74,Self-employed,Canterbury,738,37
16,31,99228.87,Salaried,Wellington,660,59
17,26,38955.81,Salaried,Auckland,570,56
18,42,38827.94,Unemployed,Other,593,46
19,27,140708.7,Student,Auckland,699,79
20,21,84122.67,Salaried,Waikato,720,9
21,56,18521.71,Salaried,Wellington,651,4
22,35,42008.77,Salaried,Manawatu,823,34
23,39,23971.11,Salaried,Wellington,708,62
24,21,35319.45,Salaried,Wellington,633,31
25,31,18000.0,Unemployed,Waikato,593,119
26,39,50937.5,Unemployed,Auckland,582,57
27,24,32406.89,Student,Auckland,673,43
28,43,55656.68,Salaried,Auckland,616,2
29,31,26074.04,Salaried,Auckland,767,4
30,34,56235.88,Self-employed,Auckland,753,55
31,31,44949.17,Self-employed,Canterbury,694,8
32,60,106497.72,Salaried,Bay of Plenty,567,1
33,38,102243.3,Self-employed,Other,603,87
34,25,77142.18,Contractor,Wellington,738,80
35,48,46771.24,Contractor,Auckland,611,9
36,23,132378.59,Salaried,Otago,729,55
37,41,26933.71,Contractor,Otago,683,2
38,18,28807.72,Salaried,Canterbury,654,12
39,22,52171.81,Self-employed,Auckland,601,35
40,40,149390.23,Salaried,Manawatu,643,52
41,47,49461.38,Salaried,Auckland,663,1
42,40,49888.19,Salaried,Auckland,722,14
43,37,28314.81,Salaried,Bay of Plenty,588,9
44,34,82923.05,Unemployed,Canterbury,632,180
45,20,83193.9,Salaried,Auckland,653,40
46,29,77271.76,Unemployed,Waikato,696,19
47,32,40816.87,Salaried,Bay of Plenty,586,3
48,51,39418.16,Salaried,Otago,558,33
49,42,30275.53,Salaried,Auckland,697,37
50,18,56260.2,Salaried,Auckland,544,61
51,42,33316.79,Self-employed,Wellington,740,12
52,33,31893.66,Salaried,Otago,639,143
53,30,44772.04,Student,Auckland,542,21
54,45,43472.32,Salaried,Wellington,616,13
55,50,42527.65,Salaried,Auckland,677,15
56,49,66829.51,Salaried,Auckland,613,26
57,28,56138.18,Contractor,Otago,651,99
58,34,47587.71,Self-employed,Auckland,702,48
59,42,58826.98,Salaried,Bay of Plenty,636,31
60,50,34676.34,Salaried,Auckland,584,6
61,32,56804.76,Self-employed,Auckland,629,6
62,36,57975.23,Unemployed,Manawatu,749,25
63,25,27546.45,Salaried,Canterbury,768,47
64,24,84800.96,Contractor,Waikato,509,50
65,48,36437.54,Salaried,Waikato,726,9
66,54,56423.41,Salaried,Auckland,668,4
67,37,91490.03,Unemployed,Canterbury,715,17
68,50,82170.74,Self-employed,Auckland,611,90
69,42,55019.89,Student,Bay of Plenty,526,28
70,30,46022.03,Salaried,Canterbury,691,14
71,42,82982.11,Salaried,Auckland,584,14
72,56,73395.12,Self-employed,Otago,553,5
73,38,41016.75,Unemployed,Canterbury,558,23
74,57,37884.52,Student,Wellington,692,56
75,18,21320.84,Salaried,Auckland,660,125
76,48,58064.77,Salaried,Manawatu,705,25
77,39,52197.3,Salaried,Other,697,7
78,34,90335.53,Salaried,Canterbury,621,41
79,39,63676.75,Salaried,Wellington,645,51
80,18,98755.58,Salaried,Auckland,614,3
81,35,39584.23,Contractor,Auckland,635,68
82,42,90415.2,Contractor,Canterbury,582,64
83,56,42701.43,Student,Auckland,677,23
84,32,76873.63,Unemployed,Manawatu,725,30
85,28,28100.95,Salaried,Auckland,593,45
86,32,60223.08,Student,Waikato,740,41
87,49,22178.76,Self-employed,Auckland,658,1
88,42,48039.95,Unemployed,Auckland,667,5
89,32,66049.47,Salaried,Canterbury,531,6
90,44,42854.42,Salaried,Bay of Plenty,523,51
91,39,33769.15,Contractor,Waikato,660,21
92,50,79280.96,Unemployed,Auckland,705,28
93,30,51711.82,Student,Auckland,603,53
94,34,43464.21,Contractor,Otago,767,15
95,33,55207.45,Salaried,Waikato,701,50
96,20,177460.11,Contractor,Waikato,586,21
97,42,91042.01,Student,Auckland,652,17
98,41,91414.39,Contractor,Bay of Plenty,823,15
99,38,65906.73,Self-employed,Auckland,563,121
100,35,58391.08,Salaried,Wellington,687,53
101,21,18430.51,Self-employed,Auckland,627,1
102,33,39913.06,Salaried,Auckland,699,114
103,34,43640.53,Unemployed,Wellington,739,54
104,28,23302.1,Self-employed,Auckland,623,6
105,36,32182.01,Self-employed,Wellington,728,3
106,43,22217.23,Unemployed,Waikato,805,13
107,61,53250.06,Salaried,Other,655,35
108,40,78311.1,Salaried,Auckland,705,35
109,41,89147.58,Self-employed,Auckland,609,12
110,37,65293.84,Salaried,Wellington,651,21
111,18,35118.09,Salaried,Auckland,638,9
112,38,22710.23,Student,Auckland,706,2
113,39,24573.14,Salaried,Wellington,734,26
114,68,30606.2,Salaried,Canterbury,642,15
115,36,36315.98,Salaried,Bay of Plenty,757,28
116,42,50418.49,Salaried,Other,757,105
117,38,34324.89,Salaried,Bay of Plenty,709,6
118,24,63103.98,Salaried,Auckland,614,1
119,52,48799.58,Student,Waikato,607,3
120,47,54434.07,Salaried,Canterbury,593,22
121,47,90500.69,Salaried,Wellington,716,44
122,27,31853.28,Salaried,Manawatu,565,31
123,55,65409.13,Self-employed,Waikato,697,25
124,21,53836.77,Salaried,Waikato,574,16
125,45,46626.82,Salaried,Auckland,708,13
126,64,80689.63,Unemployed,Otago,651,17
127,26,80463.29,Salaried,Bay of Plenty,743,34
128,31,35386.27,Salaried,Auckland,730,7
129,39,49912.55,Student,Auckland,750,53
130,32,61484.8,Salaried,Auckland,752,31
131,19,47913.23,Salaried,Auckland,660,11
132,39,70492.36,Salaried,Waikato,569,25
133,25,61484.26,Unemployed,Auckland,576,118
134,44,123581.06,Unemployed,Manawatu,504,1
135,27,27210.94,Salaried,Otago,574,8
136,57,51272.19,Salaried,Auckland,655,21
137,29,35996.39,Salaried,Wellington,611,37
138,34,71100.41,Self-employed,Auckland,637,9
139,48,26167.48,Salaried,Auckland,684,96
140,23,63312.67,Salaried,Auckland,629,37
141,41,40801.67,Student,Wellington,571,76
142,54,38934.15,Salaried,Manawatu,646,14
143,19,28256.42,Salaried,Manawatu,587,64
144,40,43945.95,Student,Bay of Plenty,631,17
145,41,88258.5,Contractor,Canterbury,744,10
146,47,53565.75,Self-employed,Otago,631,87
147,23,71858.64,Unemployed,Wellington,774,3
148,22,114586.91,Salaried,Auckland,750,103
149,44,61003.71,Salaried,Waikato,609,22
150,42,42131.05,Salaried,Manawatu,572,177
151,41,66853.8,Salaried,Auckland,646,28
152,42,42406.92,Salaried,Auckland,731,51
153,30,43174.69,Salaried,Auckland,616,1
154,41,27338.42,Salaried,Auckland,714,25
155,42,82192.22,Salaried,Auckland,735,48
156,29,45537.84,Salaried,Wellington,596,55
157,60,58802.77,Salaried,Manawatu,603,6
158,44,33989.85,Self-employed,Otago,700,20
159,24,65918.63,Salaried,Manawatu,661,20
160,46,38450.48,Salaried,Auckland,602,4
161,26,50829.44,Unemployed,Auckland,625,21
162,47,80420.28,Contractor,Auckland,645,59
163,52,77330.34,Salaried,Manawatu,540,13
164,28,53641.94,Salaried,Auckland,704,20
165,50,24448.91,Self-employed,Canterbury,616,117
166,43,208306.28,Salaried,Auckland,455,1
167,48,118852.27,Salaried,Auckland,648,32
168,61,74997.02,Self-employed,Auckland,598,49
169,35,38601.96,Salaried,Waikato,768,52
170,29,51476.65,Salaried,Auckland,609,45
171,27,42423.63,Salaried,Auckland,573,47
172,28,95677.19,Salaried,Auckland,686,2
173,37,60969.33,Unemployed,Canterbury,604,27
174,42,38067.88,Salaried,Wellington,595,55
175,41,43833.79,Salaried,Manawatu,686,4
176,48,89727.69,Self-employed,Wellington,577,1
177,38,111306.62,Salaried,Auckland,548,61
178,55,107769.42,Salaried,Canterbury,771,45
179,35,76165.54,Salaried,Wellington,691,19
180,71,48354.71,Salaried,Bay of Plenty,632,102
181,46,18000.0,Contractor,Manawatu,650,52
182,28,61927.65,Salaried,Bay of Plenty,685,124
183,25,54131.8,Salaried,Wellington,718,95
184,44,57698.82,Unemployed,Auckland,597,24
185,35,55506.41,Salaried,Manawatu,676,51
