loan_id,event_date,action_type,promised_to_pay_date
100000,2022-08-23,SMS,2022-09-06
100003,2023-01-07,Email,2023-01-09
100003,2023-10-07,Agent,2023-10-18
100003,2023-12-29,Call,2024-01-02
100003,2024-11-09,SMS,2024-11-30
100004,2025-02-25,Call,2025-02-20
100009,2024-09-06,Email,2024-08-25
100009,2025-12-25,Agent,2026-01-09
100009,2026-01-20,Email,2026-01-28
100010,2025-08-05,Hardship,2025-08-08
100011,2024-12-20,Hardship,2024-12-29
100013,2022-06-12,Agent,2022-07-11
100014,2025-09-05,Hardship,2025-09-09
100015,2025-01-08,SMS,2025-02-02
100016,2025-12-01,SMS,2025-12-23
100017,2024-09-18,Agent,2024-09-27
100017,2025-11-21,Agent,2025-11-27
100018,2025-10-18,SMS,2025-10-30
100019,2025-10-06,SMS,2025-10-26
100020,2024-09-21,Agent,2024-09-27
100020,2025-04-18,Email,2025-05-10
100020,2025-09-21,Hardship,2025-09-24
100020,2026-01-31,SMS,2026-02-10
100021,2024-06-22,Agent,2024-07-08
100021,2024-10-01,SMS,2024-09-25
100021,2026-01-23,Hardship,2026-02-19
100023,2022-07-15,Agent,2022-08-02
100024,2022-10-12,Hardship,2022-11-16
100026,2024-08-25,Email,2024-08-18
100027,2023-08-18,Hardship,2023-09-17
100027,2024-03-06,Email,2024-02-26
100027,2025-08-23,Email,2025-09-18
100029,2024-05-04,Email,2024-05-04
100030,2024-12-28,Hardship,2025-01-20
100030,2025-12-03,Call,2025-12-25
100031,2025-04-25,Hardship,2025-05-22
100032,2022-11-30,Agent,2022-12-07
100032,2023-03-15,Email,2023-03-20
100032,2023-09-26,SMS,2023-10-10
100035,2025-12-07,Email,2025-12-28
100036,2024-09-01,Email,2024-08-27
100037,2026-01-02,SMS,2026-01-17
100038,2023-02-18,Email,2023-03-16
100038,2024-10-02,SMS,2024-10-05
100038,2025-06-01,Call,2025-05-19
100039,2024-07-22,Email,2024-07-30
100041,2023-05-01,Email,2023-05-18
100041,2023-07-18,SMS,2023-08-11
100041,2025-03-19,Agent,2025-04-12
100043,2025-03-30,Call,2025-03-24
100045,2023-12-19,Agent,2023-12-16
100045,2025-03-02,Agent,2025-03-16
100047,2023-12-08,SMS,2024-01-09
100047,2024-12-04,SMS,2024-12-30
100048,2024-01-27,Hardship,2024-02-09
100048,2025-08-12,Call,2025-08-05
100052,2025-02-18,SMS,2025-02-08
100054,2025-11-11,Email,2025-11-18
100056,2026-01-13,Hardship,2026-01-19
100056,2026-02-14,Agent,2026-03-01
100057,2024-03-26,Agent,2024-03-21
100058,2024-08-06,SMS,2024-08-10
100060,2024-10-13,Hardship,2024-10-20
100060,2025-09-10,Agent,2025-09-02
100063,2024-02-29,Agent,2024-03-14
100063,2025-04-26,Hardship,2025-05-10
100064,2024-07-15,Hardship,2024-07-31
100068,2025-11-21,Agent,2025-12-06
100070,2023-02-04,SMS,2023-02-14
100071,2023-06-01,Email,2023-05-29
100071,2023-11-29,SMS,2023-12-19
100072,2024-07-01,Call,2024-07-06
100075,2024-11-17,Agent,2024-12-06
100075,2025-01-20,Agent,2025-01-26
100075,2026-01-14,SMS,2026-01-31
100076,2025-06-11,Call,2025-06-13
100076,2026-01-16,Call,2026-01-25
100081,2025-07-02,Call,2025-08-01
100081,2025-11-28,Agent,2025-12-09
100084,2023-08-28,SMS,2023-09-17
100084,2024-07-26,SMS,2024-08-03
100084,2024-10-11,Call,2024-10-01
100085,2024-05-24,Agent,2024-06-10
100085,2025-04-06,Email,2025-04-25
100087,2024-07-23,Call,2024-08-07
100087,2024-10-19,Call,2024-11-06
100090,2022-05-08,Call,2022-05-26
100090,2023-03-21,Hardship,2023-03-25
100092,2024-06-10,Hardship,2024-06-05
100092,2025-04-04,SMS,2025-04-06
100095,2024-10-11,Email,2024-10-17
100096,2022-11-24,Email,2022-12-12
100096,2024-11-04,Call,2024-11-25
100098,2024-06-13,Call,2024-06-23
100098,2025-05-05,Email,2025-05-11
100098,2026-01-08,Hardship,2026-01-26
100100,2023-08-21,SMS,2023-09-13
100100,2024-03-01,Agent,2024-03-17
100100,2024-10-07,SMS,2024-09-28
100102,2024-05-17,Agent,2024-05-05
100102,2024-10-09,Email,2024-10-22
100103,2024-08-05,SMS,2024-08-11
100103,2025-02-16,Email,2025-02-24
100103,2025-08-31,Email,2025-08-26
100105,2025-05-20,SMS,2025-05-15
100106,2025-04-07,SMS,2025-04-15
100107,2024-10-16,Email,2024-10-15
100107,2025-03-11,Email,2025-03-05
100109,2023-10-12,SMS,2023-10-14
100110,2023-11-11,SMS,2023-11-29
100110,2026-01-12,Hardship,2026-01-31
100111,2023-08-25,Email,2023-09-10
100111,2023-09-28,Agent,2023-10-14
100113,2023-02-21,Email,2023-03-24
100113,2023-10-17,SMS,2023-10-20
100115,2022-10-27,Agent,2022-10-21
100116,2025-08-01,SMS,2025-08-27
100120,2024-12-29,Hardship,2024-12-27
100120,2025-09-08,Email,2025-09-06
100121,2024-02-25,Email,2024-03-22
100121,2025-01-01,Hardship,2024-12-28
100123,2025-03-20,Hardship,2025-03-21
100126,2025-05-17,Hardship,2025-05-30
100128,2022-09-27,SMS,2022-09-28
100129,2024-04-13,Email,2024-05-08
100131,2024-11-16,Email,2024-11-22
100133,2024-05-27,Call,2024-05-31
100133,2024-08-29,Email,2024-08-31
100134,2023-10-15,SMS,2023-10-24
100134,2024-01-08,Call,2024-01-10
100134,2024-10-20,Agent,2024-10-25
100135,2026-01-24,Agent,2026-01-22
100136,2025-10-06,Email,2025-10-11
100137,2024-12-16,Agent,2024-12-20
100137,2025-01-29,Email,2025-01-13
100138,2024-10-31,Call,2024-11-19
100138,2025-09-27,Call,2025-10-19
100138,2026-02-02,Hardship,2026-01-28
100140,2026-01-07,SMS,2026-01-12
100142,2024-04-10,SMS,2024-04-21
100142,2024-09-12,Hardship,2024-09-26
100143,2024-06-11,Agent,2024-06-11
100143,2024-07-30,Hardship,2024-08-05
100143,2025-01-13,Hardship,2025-01-10
100145,2023-08-06,Agent,2023-08-09
100147,2025-10-09,Hardship,2025-11-14
100147,2025-11-17,Agent,2025-11-28
100148,2023-10-07,SMS,2023-10-17
100148,2024-12-18,Hardship,2025-01-01
100149,2024-04-08,Agent,2024-04-06
100154,2025-03-22,SMS,2025-04-08
100155,2024-03-20,Agent,2024-03-17
100155,2024-05-11,Email,2024-05-19
100156,2024-09-16,Agent,2024-10-13
100156,2024-12-27,Call,2025-01-04
100156,2025-06-13,Hardship,2025-06-21
100157,2025-11-25,SMS,2025-12-08
100158,2023-07-14,Call,2023-07-27
100159,2024-06-09,Email,2024-07-02
100160,2025-05-02,Email,2025-05-07
100160,2025-12-24,Agent,2025-12-24
100161,2023-09-16,Call,2023-09-26
100162,2022-10-30,SMS,2022-10-23
100162,2025-03-13,SMS,2025-03-30
100162,2025-08-15,Email,2025-08-27
100163,2024-10-17,Email,2024-10-25
100165,2023-03-11,Hardship,2023-04-08
