loan_id,customer_id,product_type,origination_date,principal_nzd,interest_rate_apr,term_months,channel,status
100000,5957,Personal,2022-03-20,21035.86,0.1437,36,Broker,Active
100001,3393,SME,2023-08-09,44696.77,0.1317,36,Online,Active
100002,2304,Auto,2025-11-26,59206.7,0.1253,48,Online,Active
100003,7986,Auto,2022-10-22,32686.11,0.1306,48,Broker,Active
100004,2326,Personal,2024-08-05,28912.73,0.1543,24,Broker,Active
100005,6203,Personal,2024-01-28,28590.08,0.2273,12,Broker,Active
100006,2065,Personal,2025-10-07,16541.95,0.1245,48,Online,Active
100007,308,Personal,2025-12-01,25348.19,0.2026,24,Online,Active
100008,658,Personal,2022-07-17,12354.64,0.2047,24,Broker,Active
100009,5308,Auto,2024-07-17,38688.33,0.0846,60,Online,Active
100010,3932,Personal,2025-05-11,47974.61,0.1675,36,Broker,Active
100011,879,Personal,2024-10-17,33598.38,0.1953,36,Broker,Active
100012,5535,Mortgage,2025-06-01,112505.49,0.0718,240,Online,Active
100013,7000,SME,2022-02-09,69609.82,0.1304,24,Broker,Active
100014,4417,Personal,2024-11-18,17061.91,0.1699,24,Online,Active
100015,4900,Personal,2024-06-04,31014.9,0.0784,12,Broker,Active
100016,3968,Mortgage,2025-03-26,102341.72,0.0762,180,Online,Active
100017,3507,Personal,2024-02-02,46880.46,0.2149,36,Online,Active
100018,380,Auto,2025-07-02,41248.41,0.1336,24,Partner,Active
100019,4556,Personal,2025-01-25,62579.29,0.131,12,Partner,Active
100020,1114,Mortgage,2024-06-07,193020.31,0.0663,300,Partner,Active
100021,5570,Auto,2024-03-17,77100.19,0.1762,36,Broker,Active
100022,1392,Personal,2022-12-27,21390.74,0.1448,24,Branch,Active
100023,7715,Auto,2022-04-29,35057.81,0.1493,24,Branch,Active
100024,844,SME,2022-08-08,52121.29,0.1487,12,Branch,Active
100025,707,Personal,2022-09-13,23665.84,0.1306,24,Partner,Active
100026,4324,Personal,2024-02-09,32810.72,0.2134,24,Broker,Active
100027,3958,Auto,2022-11-11,69089.77,0.1178,60,Online,Active
100028,133,Mortgage,2022-07-16,137166.34,0.0838,300,Online,Active
100029,6949,Auto,2022-11-25,28569.49,0.1301,48,Online,Active
100030,2289,Personal,2024-11-15,22709.42,0.1553,36,Broker,Active
100031,886,SME,2024-10-12,77684.55,0.1514,18,Partner,Active
100032,7885,Personal,2022-09-21,20942.86,0.2624,24,Branch,Active
100033,4825,Auto,2024-03-03,47329.25,0.127,48,Online,Active
100034,5885,Personal,2025-05-08,44129.57,0.1949,12,Branch,Active
100035,2736,Personal,2024-11-03,25611.22,0.1537,24,Broker,Active
100036,33,Personal,2023-07-11,29931.14,0.181,36,Online,Active
100037,4811,SME,2025-03-23,102209.47,0.167,36,Online,Active
100038,317,Personal,2023-01-08,53268.61,0.1473,36,Partner,Active
100039,4977,Mortgage,2024-02-11,174246.32,0.0654,180,Online,Active
100040,2122,Personal,2022-05-11,14440.17,0.1662,12,Online,Active
100041,4003,Personal,2022-04-11,39386.69,0.1676,36,Partner,Active
100042,6449,Auto,2025-04-01,27550.21,0.0972,60,Online,Active
100043,4021,Personal,2022-05-06,30267.25,0.1836,36,Branch,Active
100044,5497,Mortgage,2023-01-18,377242.99,0.0964,120,Online,Active
100045,6685,Auto,2022-05-06,73561.16,0.1084,60,Branch,Active
100046,6218,Personal,2022-12-06,29352.7,0.1977,12,Broker,Active
100047,136,Personal,2023-08-30,26790.22,0.1795,24,Branch,Active
100048,4926,Personal,2023-07-18,38756.43,0.1801,24,Online,Active
100049,85,SME,2022-06-07,64336.64,0.1749,18,Partner,Active
100050,6448,Mortgage,2024-12-05,179135.72,0.0724,120,Online,Active
100051,5737,Personal,2025-06-30,20188.14,0.2388,24,Broker,Active
100052,182,Mortgage,2022-07-31,191454.01,0.088,300,Online,Active
100053,1953,Personal,2025-04-11,25460.64,0.0967,24,Online,Active
100054,5380,Personal,2025-09-01,36962.55,0.1957,24,Online,Active
100055,7075,Personal,2025-08-23,34396.66,0.2128,24,Online,Active
100056,2218,Personal,2025-10-23,31876.95,0.2104,24,Broker,Active
100057,2540,Personal,2022-05-06,30259.37,0.1949,36,Online,Active
100058,2970,Personal,2022-07-12,36514.73,0.0689,24,Broker,Active
100059,4510,Auto,2025-06-29,75634.59,0.1325,48,Branch,Active
100060,4593,Personal,2024-07-25,30258.16,0.1263,24,Online,Active
100061,4215,Personal,2025-08-18,39230.15,0.2294,24,Online,Active
100062,3835,Mortgage,2026-01-21,199118.12,0.0829,180,Partner,Active
100063,6555,Auto,2023-11-10,75530.77,0.1394,24,Online,Active
100064,694,SME,2023-11-08,52570.5,0.127,18,Online,Active
100065,5846,SME,2024-12-19,58439.6,0.162,36,Online,Active
100066,5654,SME,2025-09-22,68142.1,0.1638,24,Online,Active
100067,233,Personal,2025-12-06,13761.84,0.0906,24,Broker,Active
100068,3868,Auto,2024-06-17,28001.35,0.0935,24,Online,Active
100069,2747,Personal,2022-12-08,61156.66,0.129,24,Branch,Active
100070,7176,Mortgage,2022-09-16,243152.81,0.073,300,Broker,Active
100071,2016,SME,2022-06-14,60937.67,0.1426,24,Broker,Active
100072,7742,Auto,2023-10-17,48287.66,0.1101,24,Partner,Active
100073,7268,Auto,2022-04-13,69759.37,0.1133,36,Partner,Active
100074,631,Personal,2025-04-26,36905.44,0.1687,24,Broker,Active
100075,2868,Mortgage,2023-07-04,269666.25,0.0606,240,Broker,Active
100076,7075,Personal,2024-01-24,46969.47,0.2137,48,Broker,Active
100077,4527,Personal,2026-01-31,61895.67,0.0931,36,Broker,Active
100078,3179,Personal,2023-01-16,17994.46,0.1413,24,Online,Active
100079,53,Personal,2025-10-08,44004.73,0.1586,12,Branch,Active
100080,1171,Personal,2025-05-22,61213.19,0.1612,24,Partner,Active
100081,792,Auto,2022-05-25,41954.69,0.0994,48,Online,Active
100082,2436,Personal,2025-02-04,20414.86,0.235,36,Online,Active
100083,3964,Personal,2025-09-19,41355.31,0.219,48,Branch,Active
100084,1607,Personal,2022-08-21,29591.99,0.2161,36,Online,Active
100085,6937,Personal,2023-09-01,61822.91,0.1379,36,Online,Active
100086,5428,Mortgage,2024-10-10,113959.62,0.0853,120,Online,Active
100087,1287,Personal,2024-01-11,30823.53,0.1121,36,Partner,Active
100088,1406,SME,2026-01-04,59177.34,0.1225,36,Online,Active
100089,6829,Auto,2024-06-07,48334.22,0.1066,48,Partner,Active
100090,3416,Auto,2022-03-26,35578.2,0.1318,48,Broker,Active
100091,5413,Auto,2024-08-26,37783.21,0.1287,24,Broker,Active
100092,2902,Personal,2024-04-29,61970.02,0.2274,24,Broker,Active
100093,6671,Personal,2025-05-17,23517.69,0.1506,12,Online,Active
100094,3156,Auto,2022-06-21,69491.48,0.1135,36,Branch,Active
100095,1110,Personal,2024-01-04,55176.06,0.1362,12,Branch,Active
100096,5620,Auto,2022-09-18,30298.52,0.0925,48,Online,Active
100097,7209,Mortgage,2025-08-13,418503.71,0.0651,240,Branch,Active
100098,7636,Mortgage,2022-06-26,101576.39,0.0618,120,Online,Active
100099,2943,Auto,2025-09-23,30619.18,0.1057,48,Online,Active
100100,2262,Personal,2022-11-12,72656.04,0.1993,24,Branch,Active
100101,7964,Personal,2025-03-21,38147.16,0.1705,36,Branch,Active
100102,3883,Personal,2023-09-22,26856.45,0.1606,24,Online,Active
100103,2610,Personal,2022-08-12,33394.75,0.1325,36,Broker,Active
100104,4295,Personal,2025-11-14,47722.58,0.1,36,Branch,Active
100105,657,Auto,2025-01-01,32777.99,0.1159,24,Partner,Active
100106,273,Personal,2024-05-19,40172.19,0.1748,12,Online,Active
100107,1133,Personal,2024-06-26,32182.29,0.1905,12,Broker,Active
100108,7887,SME,2025-04-17,37354.73,0.1145,18,Partner,Active
100109,576,Personal,2022-03-19,32899.66,0.1446,24,Broker,Active
100110,3454,Auto,2022-10-28,100954.88,0.1179,48,Online,Active
100111,7656,Mortgage,2022-01-06,376758.21,0.0801,240,Online,Active
100112,6557,Personal,2022-08-05,37417.11,0.1693,12,Broker,Active
100113,7612,Personal,2022-09-12,39903.59,0.1886,24,Online,Active
100114,4896,Personal,2022-09-16,77020.63,0.1326,12,Broker,Active
100115,4818,SME,2022-02-04,57153.83,0.1798,24,Branch,Active
100116,6644,Personal,2023-11-23,58600.15,0.1859,24,Branch,Active
100117,1954,Mortgage,2022-08-31,152429.22,0.0652,240,Online,Active
100118,5126,Personal,2026-01-08,21794.82,0.1744,24,Online,Active
100119,7950,Personal,2024-12-26,45256.2,0.1778,24,Partner,Active
100120,5897,Personal,2024-10-17,25723.59,0.095,12,Partner,Active
100121,2753,Personal,2023-06-15,40916.23,0.1843,36,Online,Active
100122,7988,Auto,2025-12-10,35803.71,0.1002,48,Broker,Active
100123,7754,Personal,2024-07-23,35156.79,0.1886,12,Broker,Active
100124,3589,Auto,2023-11-28,43834.68,0.1326,24,Broker,Active
100125,6831,Personal,2024-02-29,35746.68,0.0912,36,Broker,Active
100126,3911,Personal,2022-06-28,27390.18,0.1733,36,Broker,Active
100127,365,SME,2025-12-29,113095.23,0.1343,36,Branch,Active
100128,2304,Personal,2022-03-10,37738.04,0.1737,12,Partner,Active
100129,6316,Auto,2022-07-10,72809.13,0.1488,36,Broker,Active
100130,5208,Personal,2026-01-09,60906.88,0.1626,36,Broker,Active
100131,3866,Auto,2023-02-27,58133.36,0.0787,36,Branch,Active
100132,4821,Personal,2025-10-08,73423.24,0.1556,24,Branch,Active
100133,6486,Personal,2024-04-08,31045.83,0.1695,36,Broker,Active
100134,5401,Personal,2023-02-02,20386.17,0.1717,24,Broker,Active
100135,7653,Personal,2025-11-03,11289.2,0.136,12,Broker,Active
100136,7325,Personal,2025-03-24,24312.62,0.1887,12,Branch,Active
100137,2200,Mortgage,2024-04-06,226610.54,0.0662,180,Online,Active
100138,4261,Mortgage,2023-06-18,123749.63,0.0777,240,Online,Active
100139,4700,Mortgage,2025-05-02,218578.38,0.0775,240,Online,Active
100140,1299,Personal,2025-04-15,80241.72,0.2479,48,Online,Active
100141,2330,Mortgage,2024-04-17,112629.05,0.0604,180,Branch,Active
100142,2007,Personal,2023-11-02,17594.14,0.1431,12,Partner,Active
100143,792,Auto,2024-03-25,50170.35,0.1036,24,Online,Active
100144,7593,Personal,2023-12-12,15121.95,0.1885,24,Branch,Active
100145,6780,SME,2022-04-17,27301.42,0.1372,24,Online,Active
100146,6617,Personal,2023-01-16,45267.17,0.1757,36,Broker,Active
100147,5858,Personal,2025-01-05,28802.78,0.2386,48,Online,Active
100148,3273,Personal,2022-12-31,33236.49,0.1972,24,Online,Active
100149,458,Mortgage,2023-01-20,263475.4,0.0668,300,Partner,Active
100150,7612,Mortgage,2025-12-17,168990.97,0.0708,120,Branch,Active
100151,3949,Auto,2022-04-15,60854.59,0.1158,36,Branch,Active
100152,688,Personal,2025-10-03,22652.73,0.2491,12,Broker,Active
100153,4294,Personal,2023-04-24,34651.07,0.1743,12,Online,Active
100154,413,Personal,2023-09-07,50872.3,0.1642,24,Online,Active
100155,470,SME,2023-03-31,136934.23,0.1222,36,Branch,Active
100156,4715,Personal,2023-12-09,28805.48,0.1783,36,Branch,Active
100157,4505,Mortgage,2023-01-20,236629.94,0.0649,240,Branch,Active
100158,1111,Auto,2023-03-20,36019.65,0.1359,60,Online,Active
100159,6425,Personal,2024-02-25,49163.24,0.1196,36,Partner,Active
100160,4148,Personal,2024-03-07,41601.11,0.1111,36,Branch,Active
100161,6085,Personal,2023-04-06,65946.72,0.144,24,Branch,Active
100162,2603,Personal,2022-05-05,29376.68,0.0907,48,Broker,Active
100163,6947,Personal,2024-07-27,23795.36,0.1452,24,Partner,Active
100164,4605,Mortgage,2024-10-23,197247.27,0.066,240,Broker,Active
100165,733,Mortgage,2022-05-06,102361.61,0.0709,300,Broker,Active
100166,3428,Personal,2022-07-16,58598.9,0.1713,48,Broker,Active
100167,7250,Mortgage,2022-02-25,231844.33,0.0732,180,Online,Active
100168,7605,SME,2022-02-18,58140.63,0.1563,24,Broker,Active
100169,3891,Personal,2025-01-22,17821.16,0.1603,36,Branch,Active
100170,1947,Auto,2025-06-09,40835.48,0.1212,24,Broker,Active
100171,6077,Personal,2024-11-12,36669.19,0.1866,12,Branch,Active
100172,864,SME,2024-10-28,112903.03,0.0973,18,Broker,Active
100173,1907,Personal,2024-11-01,12072.19,0.216,48,Online,Active
100174,4130,Personal,2022-08-17,24359.34,0.1863,36,Online,Active
100175,6748,Personal,2025-03-31,18242.54,0.1535,24,Broker,Active
100176,5791,Personal,2023-12-09,56930.97,0.1713,12,Online,Active
100177,6805,SME,2023-06-24,93363.65,0.1289,36,Branch,Active
100178,5302,Auto,2023-03-26,53223.67,0.1266,36,Online,Active
100179,6150,Mortgage,2022-09-24,224426.38,0.0793,240,Broker,Active
100180,2065,Mortgage,2024-07-08,247593.54,0.0768,240,Partner,Active
100181,4452,SME,2024-03-11,51947.83,0.1288,24,Online,Active
100182,5909,Personal,2022-11-13,40011.45,0.1266,24,Online,Active
100183,7963,Personal,2023-05-26,28594.33,0.1561,48,Online,Active
100184,6445,Auto,2022-01-13,44175.84,0.1353,48,Broker,Active
100185,4464,Auto,2022-08-11,62400.72,0.115,48,Broker,Active
100186,5144,SME,2025-12-03,43725.78,0.1685,18,Branch,Active
100187,7330,Mortgage,2023-03-26,84169.94,0.0833,240,Broker,Active
100188,3884,Auto,2022-09-13,36108.39,0.1341,24,Partner,Active
100189,7331,Personal,2025-03-05,43991.23,0.1969,36,Online,Active
100190,5784,Personal,2025-06-28,32303.09,0.169,48,Partner,Active
100191,592,Mortgage,2024-04-30,115107.0,0.0676,300,Branch,Active
100192,4298,Personal,2023-02-16,83759.84,0.2048,24,Online,Active
100193,6020,Personal,2024-02-11,18160.22,0.1412,36,Broker,Active
100194,5346,Auto,2024-05-20,31343.57,0.1213,36,Broker,Active
100195,2095,Personal,2022-08-05,26412.0,0.1542,36,Broker,Active
100196,3963,Personal,2022-01-31,23436.87,0.1847,24,Online,Active
100197,754,Personal,2023-01-18,36397.28,0.1169,36,Online,Active
