loan_id,payment_date,paid_amount
1001,2024-02-01,463
1001,2024-02-16,739
1001,2024-03-02,997
1002,2024-03-17,887
1002,2024-04-01,1966
1002,2024-04-16,1116
1003,2024-05-01,1987
1003,2024-05-16,1113
1003,2024-05-31,1873
1004,2024-06-15,274
1004,2024-06-30,687
1004,2024-07-15,499
1005,2024-07-30,1733
1005,2024-08-14,571
1005,2024-08-29,922
1006,2024-09-13,359
1006,2024-09-28,300
1006,2024-10-13,529
1007,2024-10-28,337
1007,2024-11-12,541
1007,2024-11-27,1279
1008,2024-12-12,1780
1008,2024-12-27,1454
1008,2025-01-11,563
1009,2025-01-26,1057
1009,2025-02-10,1431
1009,2025-02-25,947
1010,2025-03-12,924
1010,2025-03-27,1586
1010,2025-04-11,1761
